product,price,rating,rating_count,product url
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Navy Blue),"₹1,424",,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzc0NDk1MTEyMTg1NjU1OjE2NjcxMTE4Mjg6c3BfYnRmOjIwMDMxMzA3NTc2MTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FHEROZ-Hammer-Durable-Travel-Laptop%2Fdp%2FB07MCRFH6N%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dbags%26qid%3D1667111828%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-38-spons%26psc%3D1%26smid%3DAGHKR430JFM4U
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Navy College Bag,"₹1,358",,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjY5NTkwMDkzNzA3NDI5OjE2NjcxMTE4MzA6c3BfYXRmX25leHQ6MjAwNDE2OTU2NzY0MDY6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FCosmus-Casual-Backpack-Charger-College%2Fdp%2FB08D7D2ZFX%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dbags%26qid%3D1667111830%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-33-spons%26psc%3D1
ICEMART 25 L Waterproof Laptop Bag/Backpack for Men;Women;Boys;Girls/Office School College,₹499,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjY5NTkwMDkzNzA3NDI5OjE2NjcxMTE4MzA6c3BfYXRmX25leHQ6MjAwNzgzOTc3Njg2OTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FICEMART-Waterproof-Laptop-Backpack-College%2Fdp%2FB09LVQ3PYW%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dbags%26qid%3D1667111830%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-34-spons%26psc%3D1
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"₹1,450",,,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_35?keywords=bags&qid=1667111830&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-35
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm","₹1,399",,,https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_36?keywords=bags&qid=1667111830&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-36
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹639,,,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_37?keywords=bags&qid=1667111830&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-37
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹649,,,https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_38?keywords=bags&qid=1667111830&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-38
"Kore K-ACE-3.0 Gym Bag with Carry Handels (Red/Black), L (ACE-3.0-RED)",₹59,,,https://www.amazon.in/Kore-K-REGULAR-GYM-BAG-Regular-Gym-Bag/dp/B09VLK27NF/ref=sr_1_39?keywords=bags&qid=1667111830&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-39
ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,₹845,,,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_40?keywords=bags&qid=1667111830&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-40
Aristocrat Unisex Black Premium Poleyester Fabric 26L Laptop Bags,₹923.34,,,https://www.amazon.in/Aristocrat-Unisex-Premium-Poleyester-Fabric/dp/B09ZV9MSFQ/ref=sr_1_41?keywords=bags&qid=1667111830&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-41
